,ggroup,conm,tic,2020 Return,beta,alpha,2021 Return
64,4010,CAPSTAR FINANCIAL HLDGS INC,CSTR,-0.09804021071906618,0.907751749688276,-0.0015135088619877557,0.4932354086208675
65,4010,COMMUNITY TRUST BANCORP INC,CTBI,-0.16699349189693408,0.9424919513874518,-0.06616223947268264,0.22448749528849715
66,4010,CVB FINANCIAL CORP,CVBF,-0.05775053297484195,0.842552016006622,0.03069747224629979,0.13356138282820054
67,4010,CENTRAL VALLEY CMNTY BANCORP,CVCY,-0.2881900884591471,1.0987066179900353,-0.16800276154955823,0.42755513061084
68,4010,CODORUS VALLEY BANCORP,CVLY,-0.23620480081540174,0.8694928154741295,-0.14441864475011265,0.31850617614740223
69,4010,COMMUNITY WEST BANCSHARES,CWBC,-0.1859202291746534,0.26913299639468274,-0.16852279491657338,0.5286894378939474
70,4010,CITIZENS & NORTHERN CORP,CZNC,-0.2564821689830858,1.0903751571144544,-0.1373271675317055,0.34577142010992074
71,4010,CITIZENS COMMUNITY BANCORP,CZWI,-0.09316431078856868,0.4694018961559374,-0.050952178748383474,0.2793173963535457
72,4010,DIME COMMUNITY BANCSHARES,DCOM,-0.2439757116040776,1.0279910477498244,-0.1325505315185437,0.48025855634602055
73,4010,EASTERN BANKSHARES INC,EBC,0.3423867878547159,0.20021752310686475,0.3512451197150366,0.3016997181080166
74,4010,EAGLE BANCORP MONTANA INC,EBMT,-0.0014451364655735158,0.48744606673373964,0.04300279274606818,0.13066098241342974
75,4010,ENTERPRISE BANCORP INC/MA,EBTC,-0.211300778049361,1.1967082095653805,-0.07897037810143914,0.8224180202279641
76,4010,ENTERPRISE FINL SERVICES CP,EFSC,-0.25585690056637944,1.1086440543351936,-0.13443825676271473,0.3839641309408689
77,4010,EAGLE BANCORP INC/MD,EGBN,-0.1270179913182573,1.017498061640563,-0.016892964573774122,0.460068021900392
78,4010,EMCLAIRE FINANCIAL CORP,EMCF,-0.039067614445392765,0.20023641039129253,-0.030206942320280265,-0.02847075428654984
79,4010,EQUITY BANCSHARES INC,EQBK,-0.2834384187420598,0.9683187833547499,-0.1794070437291202,0.5784119572056107
80,4010,ELMIRA SVGS BANK ELMIRA/NY,ESBK,-0.23152563737654305,0.3081304861528126,-0.20929614520152054,1.0664379839502371
81,4010,ESQUIRE FINCL HOLD INC,ESQ,-0.2607857777030643,0.8462105830734354,-0.17188445079200088,0.6834223667319245
82,4010,ESSA BANCORP INC,ESSA,-0.09387274877450588,0.851811351554607,-0.004277448024401526,0.20277943575028487
83,4010,EAST WEST BANCORP INC,EWBC,0.05370099933123951,1.1165739074460537,0.17610220662148185,0.5733237451097135
84,4010,FIRST BUSINESS FINL SRV INC,FBIZ,-0.2766755355361646,1.0366200099135152,-0.16418116753118603,0.6319959038113929
85,4010,FIRST BANCSHARES INC/MS,FBMS,-0.10522540550142735,0.9126259380826329,-0.00809475808873246,0.29162721266218217
86,4010,FIRST BANCORP/NC,FBNC,-0.12504486102904944,1.0549438155767,-0.010280047137105813,0.4017598317580196
87,4010,FIRST CAPITAL INC,FCAP,-0.11760431288063025,0.7399949237451717,-0.04186383864863975,-0.2568242448957076
88,4010,FIRST CMNTY BANCSHARES INC,FCBC,-0.2700896085592627,1.0100756832957904,-0.1608842656781729,0.6118952992102423
89,4010,FIRST COMMUNITY CORP/SC,FCCO,-0.1885892181709685,0.4114613201297356,-0.15355632307234185,0.2721232715106862
90,4010,FIRST CITIZENS BANCSH  -CL A,FCNCA,0.07285107211678078,0.8989850923637829,0.16829152467441275,0.42995910636649304
91,4010,FIDELITY D & D BANCORP INC,FDBC,0.04570157170505945,0.8326227583038814,0.13291927342232276,-0.018105681162382436
92,4010,FIRST FINL BANCORP INC/OH,FFBC,-0.27272004202094696,1.1879708507457065,-0.14147226108567507,0.43290950495421593
93,4010,FFBW INC,FFBW,0.01692423048560508,0.2650982702949316,0.033821734355500746,0.16633466958556867
